#SampleID	kingdom	phylum	class	order	family	genus	species	strain
10317.000101098	135	10	14	27	10	26	3330	55
10317.000101104	48	0	0	1	0	34	1363	28
10317.000101105	56	222	59	202	35	36	1968	465
10317.000101109	208	44	5	69	9	100	2573	54
10317.000101112	2	1	0	11	8	1757	451	44
10317.000101116	293	1	13	76	37	178	341	444
10317.000101132	16	1	8	9	0	184	3564	21
10317.000101136	434	19	7	16	14	67	1807	98
10317.000101140	269	89	6	43	4	246	2664	106
10317.000101150	73	25	18	34	2	113	1013	921
10317.000101179	214	4	10	531	40	2162	869	189
10317.000101200	125	99	23	184	113	265	754	360
10317.000101213	10	17	13	384	93	1607	394	26
10317.000101226	50	72	37	459	61	544	1318	200
10317.000101237	51	73	17	526	319	2192	763	206
10317.000101239	13	1	2	40	5	63	134	34
10317.000101250	200	38	20	787	103	501	2277	386
10317.000101262	360	50	4	119	819	1284	243	238
10317.000101273	17	341	55	45	23	856	427	15
10317.000101382	339	12	10	264	64	456	252	127
10317.000001524	103	29	13	651	83	884	1122	393
10317.000012185	578	17	22	644	4	155	597	1994
10317.000021969	34	1	0	12	2	3560	27	12
10317.000022036	70	2	40	62	18	1551	637	63
10317.000022342	127	116	25	130	176	592	2674	68
10317.000022343	4	115	6	250	24	1034	254	1468
10317.000023681	23	1	0	0	1	0	4378	25
10317.000023779	86	22	28	595	94	211	2206	876
10317.000029399	139	565	17	277	200	382	1720	1106
10317.000032746	475	29	27	747	108	674	1309	446
10317.000032817	133	126	24	1274	36	767	2256	190
10317.000039907	111	84	18	1930	32	320	1009	416
10317.000040025	85	12	13	81	312	731	1198	245
10317.000040323	58	3	17	622	8	456	517	1178
10317.000067462	268	60	14	584	45	632	1386	661
10317.000067514	461	64	25	1591	97	242	1044	221
10317.000067519	350	31	10	759	29	422	1192	466
10317.000067672	351	18	12	295	15	2689	1145	269
10317.000067700	450	59	28	1235	129	1966	879	102
10317.000067934	322	66	53	708	100	803	2187	552
10317.000067945	501	26	26	506	66	977	1249	516
10317.000067959	249	14	49	412	82	2955	1171	429
10317.000068014	86	265	0	308	18	446	412	213
10317.000068257	167	156	43	1194	135	453	1855	562
10317.000069025	491	63	65	199	44	861	1737	357
10317.000022413	386	35	251	545	623	2372	2540	283
10317.000023731	2	5	8	222	21	301	2046	195
10317.000023747	202	28	27	592	32	1129	2564	419
10317.000023974	342	205	17	1079	72	1418	1596	295
10317.000030364	72	4	8	230	42	841	944	248
10317.000033078	298	70	24	902	59	1108	1365	1091
10317.000037504	8	1	0	6	457	875	26	15
10317.000038076	163	41	13	600	23	324	2066	1590
10317.000042006	820	18	5	410	117	1594	1075	177
10317.000042969	822	84	37	701	236	1386	1737	139
10317.000043003	422	20	16	969	39	1285	2079	626
10317.000049007	657	194	60	602	95	635	1671	309
10317.000049977	178	129	16	465	36	210	1273	443
10317.000049986	462	103	9	1663	89	402	1384	600
10317.000050281	324	124	30	359	17	99	2712	828
10317.000051078	131	119	120	226	105	2590	1091	309
10317.000051108	716	126	195	754	114	1000	1904	622
10317.000051183	79	27	7	90	368	344	1490	7
10317.000052070	476	17	268	188	16	401	263	78
10317.000052476	171	11	5	1556	497	1335	896	1227
10317.000059984	462	148	214	439	258	1596	2239	301
10317.000063174	174	57	22	738	168	2591	919	413
10317.000079083	800	53	60	341	538	1250	1073	181
10317.000089338	134	5	6	489	27	317	999	912
10317.000094704	87	51	17	299	28	328	482	526
