#SampleID	kingdom	phylum	class	order	family	genus	species	strain
10317.000101098	1	0	0	1	2	17	3472	114
10317.000101104	0	0	0	0	0	36	1349	89
10317.000101105	0	0	0	4	0	58	2869	112
10317.000101109	0	2	1	37	1	27	2669	325
10317.000101112	2	0	0	0	1	218	1422	631
10317.000101116	2	0	0	3	1	76	720	581
10317.000101132	0	0	0	1	0	42	3664	96
10317.000101136	0	2	0	1	2	45	2079	333
10317.000101140	0	32	0	9	0	38	3069	279
10317.000101150	0	0	0	6	0	20	1974	199
10317.000101179	63	104	0	23	2	1030	2077	720
10317.000101200	8	0	2	39	1	78	963	832
10317.000101213	164	15	1	9	2	310	1492	551
10317.000101226	9	3	0	38	0	153	1752	786
10317.000101237	9	0	0	63	3	466	3052	554
10317.000101239	3	0	0	2	0	40	155	92
10317.000101250	171	42	6	38	5	231	1919	1900
10317.000101262	2	23	0	12	8	247	2660	165
10317.000101273	2	287	1	13	22	157	1126	171
10317.000101382	11	23	1	49	2	51	925	462
10317.000001524	4	81	1	31	6	328	1906	921
10317.000012185	3	9	1	6	8	135	3372	477
10317.000021969	5	0	0	1	0	3521	60	61
10317.000022036	51	4	16	23	2	943	876	528
10317.000022342	1	131	3	87	9	453	2623	601
10317.000022343	0	79	0	40	0	911	1720	405
10317.000023681	0	0	0	0	0	0	4424	4
10317.000023779	5	0	4	51	36	70	2438	1514
10317.000029399	27	8	1	28	2	218	3046	1076
10317.000032746	97	72	8	46	2	189	1852	1549
10317.000032817	34	138	1	130	2	160	3233	1108
10317.000039907	0	1	0	66	8	126	3411	308
10317.000040025	0	14	0	8	29	388	1986	252
10317.000040323	28	2	2	56	1	161	1387	1222
10317.000067462	156	2	6	33	8	189	2590	666
10317.000067514	303	101	0	31	22	53	2755	480
10317.000067519	63	6	6	25	10	258	2306	585
10317.000067672	120	61	0	5	1	1081	2318	1208
10317.000067700	146	103	16	43	35	996	2959	550
10317.000067934	37	10	31	53	19	285	3034	1322
10317.000067945	83	68	3	24	27	517	2541	604
10317.000067959	245	3	3	56	2	1539	2715	798
10317.000068014	37	4	0	2	0	229	1189	287
10317.000068257	21	32	10	51	6	135	3122	1188
10317.000069025	55	19	3	24	14	249	2542	911
10317.000022413	101	68	1	31	75	309	5044	1406
10317.000023731	1	2	0	1	0	613	2001	182
10317.000023747	68	19	12	25	25	513	3510	821
10317.000023974	45	186	5	44	17	220	3198	1309
10317.000030364	16	0	4	34	79	199	1897	160
10317.000033078	55	0	23	39	6	56	3126	1612
10317.000037504	8	4	0	0	0	286	1069	21
10317.000038076	32	14	5	49	17	118	3922	663
10317.000042006	749	5	32	85	38	848	1497	962
10317.000042969	18	39	4	50	4	1157	2223	1647
10317.000043003	375	12	16	45	42	495	2578	1893
10317.000049007	220	1	11	182	4	204	2705	896
10317.000049977	13	2	10	81	13	39	1973	619
10317.000049986	4	427	9	26	31	374	3005	836
10317.000050281	15	1	3	115	2	108	3022	1228
10317.000051078	59	80	7	9	0	251	3348	937
10317.000051108	115	71	8	81	7	864	2835	1450
10317.000051183	1	2	1	29	2	138	1400	839
10317.000052070	16	7	266	14	0	371	685	348
10317.000052476	119	0	1	224	1	257	2921	2175
10317.000059984	213	511	17	36	45	1065	1958	1812
10317.000063174	136	13	9	57	7	203	4011	646
10317.000079083	125	346	9	34	7	431	3013	331
10317.000089338	5	3	11	16	2	312	1234	1306
10317.000094704	9	2	5	9	13	139	787	854
